Attack_Day,Baseline_CR,CR_Omega_30,CR_Omega_40,CR_Omega_50
469,-0.3778986729705246,-0.20291806467074647,-0.16753717641936783,-0.0739330943588884
470,-0.3778986729705246,-0.2067716041174772,-0.17356985888610796,-0.07953421086438517
471,-0.3778986729705246,-0.16810397615220063,-0.13703779108044067,-0.04257920841669938
472,-0.3778986729705246,-0.16355415493509895,-0.13039512090692196,-0.036351014192358755
473,-0.3778986729705246,-0.1589133372936551,-0.12361959732993277,-0.02999825608353124
474,-0.3778986729705246,-0.16364697128792782,-0.13053063137846188,-0.03647806935453535
475,-0.3778986729705246,-0.16828593260231492,-0.1373034447460202,-0.04282828636011926
476,-0.3778986729705246,-0.12957376359084827,-0.1306660876458131,-0.03660507369464705
477,-0.3778986729705246,-0.16837685624407703,-0.13743619188802447,-0.042952750613428736
478,-0.3778986729705246,-0.07700883437123429,-0.13226209593750127,-0.009877818080221146
479,-0.3778986729705246,-0.038903849013751435,-0.09491973339816995,0.027726694513798722
480,-0.3778986729705246,-0.04566683207772715,-0.10243008682393417,0.020473248141629208
481,-0.3778986729705246,-0.008206329113600086,0.030225956998678027,0.05991100884152434
482,-0.3778986729705246,-0.04579938654578097,-0.005622866076227417,0.023553448990415116
483,-0.3778986729705246,-0.008353867782839641,0.030043533642292952,0.05973876022066327
484,-0.3778986729705246,0.029224152426368333,0.06587801718796837,0.09608177704783194
485,-0.3778986729705246,0.021098609333590312,0.05604380816492849,0.08674593064065539
486,-0.3778986729705246,0.05806959919931054,0.09134030541899207,0.12253082325826514
487,-0.3778986729705246,0.02093934868897185,0.05585105766807685,0.08656294805107478
488,-0.3778986729705246,0.0008518477374932498,-0.02546866840633899,0.08249144249203777
489,-0.3778986729705246,-0.0341165434063706,-0.06077742826252752,0.04819328870612938
490,-0.3778986729705246,-0.06890394782275067,-0.09591200876547878,0.014089526394863827
491,-0.3778986729705246,-0.03428354277739665,-0.060937484111822204,0.04801261649300104
492,-0.3778986729705246,-0.03649278025814595,-0.026553790411323885,0.026648220745217555
493,-0.3778986729705246,-0.026493482275506852,-0.017497239496337635,0.034286118764868534
494,-0.3778986729705246,-0.03669276621779871,-0.026734921429623637,0.02649546278482451
